# timestamp(s) tx ty tz qx qy qz qw 
1666059836.352500 0 0 0 -0 -0 -0 1
1666059836.452089 0.0122198 -0.00102762 0.0252594 -0.000328749 -0.0012329 0.000178248 0.999999
1666059836.551674 0.0225031 0.000354799 0.0532274 -0.000647604 -0.00202073 -0.000218682 0.999998
1666059836.651352 0.0428423 0.00681906 0.093676 -0.00103846 -0.00302246 -0.00114498 0.999994
1666059836.751101 0.0507809 0.00722994 0.116782 -0.00124474 -0.00352825 -0.00080144 0.999993
1666059836.850908 0.0549464 0.00794755 0.138498 -0.00127305 -0.00365211 -0.000528369 0.999992
1666059836.950758 0.0645206 0.0093964 0.159949 -0.00138194 -0.00461096 -0.000346933 0.999988
1666059837.050643 0.0700727 0.0104291 0.187518 -0.001745 -0.00439275 -0.000113714 0.999989
1666059837.150556 0.0681389 0.00901193 0.207187 -0.00208533 -0.00364235 0.000201927 0.999991
1666059837.250489 0.05877 0.00830982 0.222755 -0.00204095 -0.00211425 0.000253976 0.999996
1666059837.350441 0.0512348 0.00994137 0.252688 -0.00223737 -0.000937369 0.000529167 0.999997
1666059837.450401 0.0474988 0.0197567 0.288031 -0.00195777 -3.17621e-05 0.000351355 0.999998
1666059837.550370 0.0402888 0.0188853 0.323985 -0.00232359 0.00100752 0.000848719 0.999996
1666059837.650346 0.0352832 0.0283197 0.361103 -0.00189655 0.00189754 0.00076143 0.999996
1666059837.750328 0.0282938 0.0283703 0.395699 -0.00226752 0.0028876 0.0011676 0.999993
1666059837.850313 0.0199912 0.0287943 0.427308 -0.00251752 0.00395722 0.00132223 0.999988
1666059837.950303 0.0126904 0.0293317 0.460285 -0.00283017 0.00494381 0.00148891 0.999983
1666059838.050294 0.00589233 0.0300885 0.492767 -0.00308144 0.00588302 0.00170085 0.999977
1666059838.150288 0.000875072 0.0291617 0.526528 -0.00354892 0.00669862 0.00210809 0.999969
1666059838.250283 -0.0048231 0.0293546 0.559736 -0.0038757 0.00758895 0.00224336 0.999961
1666059838.350278 -0.0120698 0.029856 0.593486 -0.00418556 0.00870153 0.00245029 0.99995
1666059838.450278 -0.017818 0.0294818 0.626114 -0.0045486 0.00963403 0.00280556 0.999939
1666059838.550278 -0.0232647 0.0289909 0.658711 -0.00495905 0.0105573 0.00315646 0.999927
1666059838.650278 -0.0294237 0.028849 0.691994 -0.00531927 0.0115673 0.0034453 0.999913
1666059838.750278 -0.0341803 0.0283577 0.725094 -0.00572678 0.0123844 0.00370053 0.9999
1666059838.850278 -0.0398894 0.0282594 0.757505 -0.00612068 0.0133374 0.00392863 0.999885
1666059838.950278 -0.0448177 0.0269102 0.78756 -0.0065368 0.0142472 0.00418944 0.999868
1666059839.050278 -0.0515094 0.0263857 0.820318 -0.00691909 0.0152957 0.0044512 0.999849
1666059839.150278 -0.0570248 0.024816 0.852746 -0.00740761 0.0162855 0.00482919 0.999828
1666059839.250278 -0.0623308 0.0246914 0.885951 -0.00777789 0.0172906 0.00514107 0.999807
1666059839.350278 -0.0693991 0.0245752 0.921036 -0.00814305 0.0183595 0.0053018 0.999784
1666059839.450278 -0.0762206 0.0234293 0.951479 -0.00868655 0.0193874 0.00555803 0.999759
1666059839.550278 -0.0814008 0.0236121 0.985959 -0.00907108 0.020379 0.00589159 0.999734
1666059839.650278 -0.0863362 0.0232159 1.02163 -0.00958728 0.0213197 0.00632173 0.999707
1666059839.750278 -0.091461 0.0222996 1.05453 -0.0100829 0.0221706 0.00671776 0.999681
1666059839.850278 -0.0934831 0.0244111 1.08971 -0.0103509 0.0224718 0.00698251 0.99967
1666059839.950278 -0.10123 0.0224984 1.12034 -0.0108428 0.0243784 0.00721404 0.999618
1666059840.050278 -0.108916 0.0221831 1.15133 -0.0111519 0.0252883 0.00737119 0.999591
1666059840.150278 -0.118742 0.0219029 1.18753 -0.010869 0.0250673 0.00718546 0.999601
1666059840.250278 -0.117914 0.0235359 1.24068 -0.00847672 0.0258452 0.00694876 0.999606
1666059840.350278 -0.121004 0.0248777 1.30986 -0.00902139 0.026745 0.00671375 0.999579
1666059840.450278 -0.123804 0.02659 1.40425 -0.0101545 0.026922 0.00715631 0.99956
1666059840.550278 -0.12787 0.028828 1.50245 -0.0117381 0.0273845 0.00669856 0.999534
1666059840.650278 -0.122781 0.0320825 1.60297 -0.0120826 0.0279392 0.00764854 0.999507
1666059840.750278 -0.127412 0.0334444 1.70121 -0.0122867 0.0281718 0.00761674 0.999499
1666059840.850278 -0.127421 0.0346622 1.81086 -0.0111507 0.0283876 0.0077241 0.999505
1666059840.950278 -0.121349 0.0373029 1.93168 -0.0103672 0.028471 0.00765865 0.999512
1666059841.050278 -0.11131 0.0401518 2.06063 -0.0116257 0.0283114 0.00776133 0.999501
1666059841.150278 -0.110453 0.0455544 2.18441 -0.0117668 0.0278571 0.00812594 0.99951
1666059841.250278 -0.116743 0.0491987 2.33043 -0.0128047 0.0297412 0.00794477 0.999444
1666059841.350278 -0.122814 0.0638429 2.46493 -0.0122815 0.0299847 0.00776185 0.999445
1666059841.450278 -0.115775 0.0682855 2.58023 -0.0134958 0.0293907 0.0080862 0.999444
1666059841.550278 -0.152931 0.0643273 2.72082 -0.0140211 0.032244 0.00845598 0.999346
1666059841.650278 -0.150171 0.0638815 2.82894 -0.0133162 0.0314071 0.00820539 0.999384
1666059841.750268 -0.15273 0.0795547 2.97977 -0.0125973 0.0315124 0.00887517 0.999385
1666059841.850255 -0.155631 0.0786857 3.13433 -0.0131082 0.0318609 0.00873187 0.999368
1666059841.950246 -0.153834 0.0906384 3.29808 -0.0190896 0.0311934 0.00766914 0.999302
1666059842.050238 -0.162325 0.0844578 3.44894 -0.0314482 0.0313814 0.0076642 0.998983
1666059842.150232 -0.158763 0.0870233 3.61486 -0.0286023 0.0322469 0.00858948 0.999034
1666059842.250228 -0.125156 0.0708514 3.75876 -0.0229139 0.0319228 0.0115257 0.999161
1666059842.350225 -0.128068 0.072564 3.91767 -0.0235979 0.0329089 0.0101793 0.999128
1666059842.450226 -0.143599 0.0617325 4.03175 -0.0111408 0.0333294 0.00846703 0.999346
1666059842.550227 -0.168548 0.0501608 4.15563 -0.00553061 0.0351535 0.00919638 0.999324
1666059842.650233 -0.165828 0.0351905 4.30218 -0.00428697 0.0352051 0.00948699 0.999326
1666059842.750237 -0.179136 0.035749 4.43985 -0.00874616 0.0346912 0.0086048 0.999323
1666059842.850242 -0.161962 0.0235323 4.57289 -0.00606444 0.0359592 0.0120415 0.999262
1666059842.950248 -0.170885 0.014115 4.71271 -0.00832574 0.0361159 0.0102514 0.99926
1666059843.050255 -0.165339 0.00474946 4.87777 -0.0086304 0.0335847 0.0102657 0.999346
1666059843.150263 -0.149322 0.00555964 5.07215 -0.0127278 0.0342514 0.0126836 0.999252
1666059843.250271 -0.145312 0.00584131 5.30843 -0.0203509 0.0327212 0.0101757 0.999205
1666059843.350281 -0.14691 0.000374238 5.51449 -0.0270695 0.0346144 0.00813457 0.999001
1666059843.450294 -0.148307 -0.00863479 5.71227 -0.0278881 0.0337714 0.010025 0.99899
1666059843.550307 -0.149576 -0.0051167 5.90775 -0.0273913 0.0351157 0.0102428 0.998955
1666059843.650318 -0.154338 -0.00794138 6.11517 -0.0291887 0.0367436 0.0100335 0.998848
1666059843.750323 -0.136261 -0.00344888 6.2881 -0.0298022 0.0355396 0.010757 0.998866
1666059843.850323 -0.134156 -0.0050318 6.45584 -0.0334909 0.0360874 0.0109178 0.998728
1666059843.950323 -0.134182 -0.00440469 6.61798 -0.0355666 0.0359389 0.0102031 0.998669
1666059844.050323 -0.127985 -0.00226552 6.79231 -0.0388417 0.0359533 0.0103689 0.998545
1666059844.150323 -0.111991 0.0146053 6.96375 -0.0409844 0.0368772 0.0109991 0.998418
1666059844.250323 -0.122516 0.0214838 7.1504 -0.0416861 0.0382196 0.0112244 0.998336
1666059844.350323 -0.117178 0.0234855 7.33046 -0.0395701 0.042907 0.0107438 0.998237
1666059844.450323 -0.114609 0.0397346 7.53747 -0.0428317 0.0434949 0.00934357 0.998091
1666059844.550323 -0.103361 0.0521115 7.74264 -0.0456901 0.0445988 0.00970684 0.997912
1666059844.650323 -0.100184 0.051142 7.93995 -0.0496199 0.0490413 0.00995086 0.997514
1666059844.750323 -0.100117 0.0657011 8.10145 -0.0475561 0.054629 0.00902274 0.997333
1666059844.850323 -0.0904985 0.069312 8.27112 -0.0482343 0.056993 0.00951726 0.997163
1666059844.950323 -0.0874661 0.0785213 8.44233 -0.0471006 0.0600944 0.00946732 0.997036
1666059845.050323 -0.0959818 0.0836312 8.59587 -0.0469257 0.0633428 0.0086607 0.99685
1666059845.150323 -0.099842 0.0965587 8.77285 -0.0469094 0.0658633 0.00796943 0.996694
